brand,name,marketed,details
Olympus,Olympus 35 IV,1949 - 1953,"Film Size: 135;Marketed: 1949 to 1953;Lens Mount:  Fixed;Lens: Zuiko C 40mm f/3.5;Shutter: Copal  Speeds: B,1,2,5,10,25,50,100,200"
Olympus,Olympus Accura Zoom 105,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 38-105mm
Olympus,Olympus Accura Zoom 80,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 38-80mm
Olympus,Olympus C-35AD,,Film Size: 135 Picture Size: 24x36mm;Lens Mount: OM
Olympus,Olympus IS-20,,Film Size: 135;Lens Mount:  Fixed
Olympus,Olympus IS-200,,Film Size: 135;Lens Mount:  Fixed
Olympus,Olympus Stylus,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 35mm f/3.5
Olympus,Olympus Stylus Epic Zoom 80,,
Olympus,Olympus Trip Junior,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 33mm f/4.5
Olympus,Olympus Trip Panorama,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 33mm f/4.5
Olympus,Olympus Trip XB3,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 34mm f/6.3
Olympus,Olympus Trip XB3,,Film Size: 135 Picture Size: 24x36mm;Lens Mount:  Fixed;Lens: 34mm f/6.3
Olympus,Olympus M.Zuiko Digital ED 150-400mm F4.5 TC1.25x IS PRO,2020,Marketed: 17-Nov-2020;Lens Mount: OM;Lens: 150-400mm f/4.5
Olympus,Olympus M.Zuiko DIGITAL ED 100-400mm F5.0-6.3 IS,2020,Marketed: 04-Aug-2020;Lens Mount: OM;Lens: 100-400mm f/5-6.3
Olympus,Olympus M.Zuiko Digital ED 12-45mm F4.0 PRO,2020,Marketed: 12-Feb-2020;Lens Mount: OM;Lens: 12-45mm f/4
Olympus,Olympus 2x Teleconverter Lens aka MC-20,2019,Marketed: 19-Jun-2019
Olympus,Olympus M.Zuiko Digital ED 12-200mm F3.5-6.3,2019,Marketed: 13-Feb-2019;Lens Mount: OM;Lens: 12-200mm f/3.5-6.3
Olympus,Olympus M.Zuiko Digital ED 17mm f/1.2 PRO,2017,Marketed: 01-Oct-2017;Lens Mount: OM;Lens: 17mm f/1.2
Olympus,Olympus M.Zuiko Digital ED 45mm f/1.2 PRO,2017,Marketed: 01-Oct-2017;Lens Mount: OM;Lens: 45mm f/1.2
